Date,Month,Climate,Block,Plot,Transect,Species,Count,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,2,Full,6,Gooseberry,62,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,2,Full,6,CA Buttercup,18,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,2,Full,4,Gooseberry,85,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,2,Full,4,CA Buttercup,155,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,3,Partial,6,Gooseberry,57,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,3,Partial,6,Gallium,10,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,3,Partial,3,Gooseberry,40,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,3,Partial,3,CA Buttercup,4,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,3,Partial,3,Gallium,10,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,3,Partial,1,Gooseberry,40,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,3,Full,5,Gooseberry,130,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,3,Full,5,Gallium,230,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,3,Full,3,Gooseberry,170,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,3,Full,3,Gallium,400,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,3,Full,1,Gooseberry,75,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,3,Full,1,Gallium,50,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,3,Control,6,Gooseberry,40,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,3,Control,6,Gallium,50,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,3,Control,4,Gooseberry,83,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,3,Control,4,CA Buttercup,160,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,3,Control,1,Gooseberry,120,,,,,,,,,,,,,,,,,,,,
5/24/21,May,Intermediate,1,Total,2,Erodium,2,,,,,,,,,,,,,,,,,,,,
5/24/21,May,Intermediate,1,Total,4,Erodium,6,,,,,,,,,,,,,,,,,,,,
5/24/21,May,Intermediate,1,Partial,5,Gilia 2,4,,,,,,,,,,,,,,,,,,,,
5/24/21,May,Intermediate,1,Partial,5,Erodium,7,,,,,,,,,,,,,,,,,,,,
5/24/21,May,Intermediate,1,Partial,5,Popcorn Flower,202,,,,,,,,,,,,,,,,,,,,
5/24/21,May,Intermediate,1,Partial,1,Purple fuzzy,27,,,,,,,,,,,,,,,,,,,,
5/24/21,May,Intermediate,1,Partial,1,Erodium,1,,,,,,,,,,,,,,,,,,,,
5/24/21,May,Intermediate,1,Partial,1,Popcorn Flower,20,,,,,,,,,,,,,,,,,,,,
5/24/21,May,Intermediate,1,Open,6,Erodium,3,,,,,,,,,,,,,,,,,,,,
5/24/21,May,Intermediate,1,Open,6,TAPF,3,,,,,,,,,,,,,,,,,,,,
5/24/21,May,Intermediate,1,Open,1,NA,0,,,,,,,,,,,,,,,,,,,,
5/25/21,May,Arid,3,Total,1,Mitchell's Flower,1,,,,,,,,,,,,,,,,,,,,
5/25/21,May,Arid,3,Total,5,Erodium,2,,,,,,,,,,,,,,,,,,,,
5/25/21,May,Arid,3,Partial,2,NA,0,,,,,,,,,,,,,,,,,,,,
5/25/21,May,Arid,3,Partial,5,NA,0,,,,,,,,,,,,,,,,,,,,
5/25/21,May,Arid,3,Open,5,Daucus pusillus,45,,,,,,,,,,,,,,,,,,,,
5/25/21,May,Arid,3,Open,1,Daucus pusillus,65,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,1,Partial,6,Unknown B,3430,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,1,Partial,6,Gallium,55,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,1,Partial,6,Santa Cruz,70,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,1,Partial,6,Softie,86,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,1,Partial,2,Dichelostemma capitatum,71,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,1,Partial,2,CA Buttercup,112,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,1,Partial,2,Softie,15,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,1,Partial,2,Unknown B,350,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,1,Full,4,Dichelostemma capitatum,309,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,1,Full,4,Brysimum capitatum,12,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,1,Full,4,Gallium,65,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,1,Full,4,Devyn,4,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,1,Full,2,Brysimum capitatum,119,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,1,Full,2,CA Buttercup,17,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,1,Full,2,Dichelostemma capitatum,172,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,1,Full,2,Softie,5,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,1,Full,2,Gallium,10,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,1,Open,5,CA Buttercup,638,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,1,Open,5,Dichelostemma capitatum,57,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,1,Open,3,CA Buttercup,275,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,1,Open,3,Dichelostemma capitatum,51,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,1,Open,1,CA Buttercup,465,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,1,Open,1,Dichelostemma capitatum,179,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,2,Open,6,CA Buttercup,265,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,2,Open,6,Dichelostemma capitatum,1,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,2,Open,3,CA Buttercup,70,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,2,Partial,5,Brysimum capitatum,30,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,2,Partial,5,Dichelostemma capitatum,19,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,2,Partial,3,Dichelostemma capitatum,50,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,2,Partial,1,Deerweed,108,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,2,Partial,1,CA Buttercup,12,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,2,Partial,1,Dichelostemma capitatum,11,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,2,Partial,1,Brysimum capitatum,21,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,2,Partial,1,Softie,200,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,2,Total,6,Deerweed,100,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,2,Total,6,Small Yellow Star,19,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,2,Total,6,Brysimum capitatum,203,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,2,Total,6,Dichelostemma capitatum,26,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,2,Total,6,CA Buttercup,1,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,2,Total,6,Santa Cruz,280,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,2,Total,6,Georgia,7,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,2,Total,2,Softie,70,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,2,Total,2,CA Buttercup,241,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,2,Total,2,Dichelostemma capitatum,3,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,2,Total,2,Brysimum capitatum,12,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,2,Total,2,Santa Cruz,20,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,3,Partial,6,Brysimum capitatum,168,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,3,Partial,6,Dichelostemma capitatum,4,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,3,Partial,6,Softie,25,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,3,Partial,6,Gallium,80,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,3,Partial,6,CA Buttercup,5,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,3,Total,4,Gallium,250,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,3,Total,4,Softie,280,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,3,Total,4,CA Buttercup,25,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,3,Total,3,Gallium,300,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,3,Total,3,Softie,100,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,3,Total,3,CA Buttercup,15,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,3,Total,3,Ana,5,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,3,Open,6,Softie,280,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,3,Open,6,CA Buttercup,20,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,3,Open,6,Dichelostemma capitatum,150,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,3,Open,6,Gallium,50,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,3,Open,4,Dichelostemma capitatum,110,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,3,Open,4,Softie,50,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,3,Open,4,Pink Leptosiphon,5,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,3,Open,2,CA Buttercup,45,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Mesic,3,Open,2,Dichelostemma capitatum,180,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Arid,2,Partial,1,NA,0,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Arid,2,Total,2,Dandelion,4,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Arid,2,Total,4,Mitchell's Flower,1,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Arid,2,Open,5,Ana,1,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Arid,2,Open,5,Tim,1,,,,,,,,,,,,,,,,,,,,
5/26/21,May,Arid,2,Open,1,Tim,5,,,,,,,,,,,,,,,,,,,,
5/27/21,May,Arid,1,Partial,2,NA,0,,,,,,,,,,,,,,,,,,,,
5/27/21,May,Arid,1,Partial,5,Erodium,1,,,,,,,,,,,,,,,,,,,,
5/27/21,May,Arid,1,Total,1,Erodium,1,,,,,,,,,,,,,,,,,,,,
5/27/21,May,Arid,1,Total,5,Erodium,7,,,,,,,,,,,,,,,,,,,,
5/27/21,May,Arid,1,Open,3,Erodium,25,,,,,,,,,,,,,,,,,,,,
5/27/21,May,Arid,1,Open,5,Erodium,215,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
