Date,Month,Climate,Block,Plot,Transect,Galium_aparine,Ribes_roezlii,Ranunculus californicus,Phacelia_douglasii?,Erodium_sp,Gilia_breccarium,Plagiobothrys_nothofulvus,TAPF,Calochortus_sp,Daucus_pusillus,Unk_B,Collinsia_parviflora,Softie?,Dichelostemma_capitatum,Brysimum_capitatum,Potentilla_gracillus,Acmispon_glaber,Small_yellow_star?,Georgia?,Clarkia speciosa?,Pink_leptosiphon?,Hemizonia_sp
5/26/21,May,Mesic,ME3,Open,4,0,0,0,0,0,0,0,0,0,0,0,0,50,110,0,0,0,0,0,0,5,0
5/26/21,May,Mesic,ME3,Open,2,0,0,45,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0
5/26/21,May,Arid,AR2,Total,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
5/26/21,May,Arid,AR2,Total,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5/26/21,May,Arid,AR2,Open,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
5/26/21,May,Arid,AR2,Open,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
5/27/21,May,Arid,AR1,Partial,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/27/21,May,Arid,AR1,Total,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/27/21,May,Arid,AR1,Total,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/27/21,May,Arid,AR1,Open,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/27/21,May,Arid,AR1,Open,5,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
